,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
3737,gdb_3738,Cc1cnn(c1)C,7.14287,2.00998,1.60029,2.2288,64.09,-0.2255,0.0279,0.2534,780.9089,0.126236,-304.726439,-304.719229,-304.718285,-304.758379,24.805
72954,gdb_72955,CC1(C#N)C2OCC12O,2.65281,1.52377,1.21954,4.1371,69.91,-0.2526,0.0167,0.2692,1038.4558,0.122544,-437.844706,-437.836157,-437.835213,-437.87749,31.933
18151,gdb_18152,OC1C2CC(C=O)C12,3.66839,1.62024,1.3871,4.3555,65.01,-0.2312,-0.0163,0.2149,914.7092,0.13001,-383.708161,-383.700665,-383.69972,-383.740272,27.828
77142,gdb_77143,CN1C(CC1=O)C(C)=O,2.90819,1.19217,0.98531,4.5611,74.6,-0.2413,-0.0287,0.2126,1244.4075,0.145296,-439.129761,-439.120026,-439.119082,-439.165336,33.623
47324,gdb_47325,C1C(=O)COC(=O)CO1,3.17757,1.33276,0.99687,3.3028,62.3,-0.2565,-0.0518,0.2047,1115.3248,0.11198,-494.922211,-494.914265,-494.913321,-494.955573,28.608
63829,gdb_63830,CC1(O)CC2N=COC12,3.06128,1.51666,1.33831,1.7468,70.67,-0.2454,0.0168,0.2622,1004.7155,0.147885,-439.089026,-439.081034,-439.08009,-439.121608,31.026
75522,gdb_75523,CC1=CCCNC(=O)C1,2.0791,1.62881,1.01375,3.6236,82.03,-0.2289,0.0187,0.2476,1215.28,0.172632,-403.200898,-403.192221,-403.191276,-403.234269,33.328
105682,gdb_105683,CCC1(CC1)OCC=O,2.61349,0.91751,0.76347,2.868,79.7,-0.2549,-0.0272,0.2276,1550.2797,0.178582,-424.213354,-424.202945,-424.202001,-424.250177,36.804
37917,gdb_37918,C1C2C3CN=COC2C13,3.23895,1.76172,1.33112,2.2146,76.7,-0.2409,0.0331,0.274,965.56,0.151351,-401.902911,-401.896385,-401.895441,-401.933803,26.774
102697,gdb_102698,CCC(CO)OCC=O,2.10039,0.90378,0.69456,2.2082,76.13,-0.2612,-0.0348,0.2264,1653.9684,0.178481,-461.358149,-461.347096,-461.346152,-461.396122,37.841
109151,gdb_109152,CCC1=NCC(O1)(C)C,2.89815,1.12002,1.02214,1.5945,83.14,-0.2369,0.0337,0.2705,1335.9026,0.193005,-404.394549,-404.384572,-404.383628,-404.430061,36.742
22064,gdb_22065,CC(C)CCC(=NO)C,3.6827,0.61179,0.59336,0.6944,90.23,-0.2373,0.0185,0.2558,2009.6472,0.213957,-405.528023,-405.516359,-405.515415,-405.56617,41.63
38501,gdb_38502,C1CC23NC12CC1OC31,3.0631,1.78708,1.61977,1.3782,73.76,-0.2244,0.0755,0.2999,903.1135,0.150154,-401.882301,-401.87566,-401.874716,-401.912962,27.794
42370,gdb_42371,C1CC1CC(=O)CC#N,2.0802,1.3145,0.91142,3.9177,76.14,-0.2629,-0.0417,0.2212,1292.6765,0.146281,-401.963791,-401.95447,-401.953526,-401.999304,33.045
6165,gdb_6166,CC1(C)CC1C(N)=O,3.47752,1.42251,1.29879,3.3264,73.22,-0.2433,0.0287,0.272,1044.3771,0.164346,-365.100246,-365.091126,-365.090182,-365.133495,33.999
60137,gdb_60138,CC(O)CC1C2CC1O2,4.02261,0.91295,0.86384,3.0948,79.15,-0.2266,0.0649,0.2915,1425.0467,0.181251,-424.152017,-424.142956,-424.142012,-424.186537,34.477
28782,gdb_28783,c1c(n2c(n1)CC=C2)O,3.28946,1.72542,1.13972,2.4728,73.61,-0.1962,-0.0076,0.1886,999.2347,0.114968,-416.844523,-416.837487,-416.836543,-416.875823,27.373
95553,gdb_95554,OC1COC=NC2CC12,2.44778,1.73873,1.14351,1.952,73.16,-0.2364,0.0165,0.253,1059.9978,0.149344,-439.064289,-439.056427,-439.055483,-439.096696,30.554
79117,gdb_79118,CC1C2C3NC(=O)C2C13,5.08636,1.19518,1.10183,3.9126,76.11,-0.2369,0.0157,0.2526,1119.8932,0.149615,-401.93837,-401.931162,-401.930218,-401.96971,29.125
75488,gdb_75489,CC1=CCCC2(C1)CC2,2.64328,1.34156,1.02443,0.1221,91.99,-0.2261,0.0361,0.2622,1276.1625,0.207125,-351.173138,-351.16441,-351.163466,-351.206086,34.983
34629,gdb_34630,C1CC2(CC2)C(=C1)C#N,2.32778,1.67727,1.07584,4.3684,84.93,-0.2436,-0.0381,0.2055,1126.237,0.148981,-364.836587,-364.828535,-364.827591,-364.869452,30.742
103644,gdb_103645,OCC1(O)CC(O)C1O,2.8329,1.13196,1.04324,2.4821,67.19,-0.2484,0.05,0.2984,1219.3024,0.156926,-497.271149,-497.261242,-497.260297,-497.30584,36.817
66298,gdb_66299,CC1(OCOC1=O)C=O,2.09687,1.74472,1.4558,1.8934,61.35,-0.2631,-0.0564,0.2067,972.49,0.110497,-494.942667,-494.93414,-494.933196,-494.976218,29.859
80237,gdb_80238,CC1C2C(C)N1CC2=O,2.59967,1.42848,1.24324,2.3219,79.47,-0.2143,-0.0079,0.2064,1119.146,0.171336,-403.128216,-403.119579,-403.118635,-403.162194,32.785
85771,gdb_85772,CC1CN(C(N)=N)C1=O,3.03024,1.24386,0.93837,0.5499,76.66,-0.2339,-0.0037,0.2303,1254.3577,0.148303,-435.313467,-435.304351,-435.303407,-435.347471,33.542
32433,gdb_32434,CNc1c[nH]c(c1O)N,3.07081,1.21693,0.92896,1.6684,75.96,-0.1784,0.0503,0.2287,1266.9172,0.148776,-435.275801,-435.266261,-435.265317,-435.310488,34.924
9082,gdb_9083,NC(COC=O)C#N,6.33168,0.9727,0.8821,1.6882,60.15,-0.2843,0.0006,0.2849,1207.3572,0.106553,-415.878646,-415.870201,-415.869257,-415.912263,28.785
62722,gdb_62723,CC1(C)C2C=CCC12C,2.27266,1.65681,1.30882,0.2188,90.82,-0.2184,0.0239,0.2423,1128.5054,0.205103,-351.165244,-351.155914,-351.15497,-351.198272,36.999
2111,gdb_2112,C1COCCC1O,4.64427,2.25828,1.6549,1.7486,60.22,-0.2494,0.0785,0.3279,759.6757,0.15025,-346.86164,-346.85499,-346.854046,-346.891859,25.765
6770,gdb_6771,CCCCOC(=O)C,7.02246,0.70961,0.65759,1.9997,73.14,-0.2646,0.0203,0.2849,1737.1595,0.174494,-386.191656,-386.18146,-386.180516,-386.228541,34.198
34647,gdb_34648,C1C=C(CN=CO1)C#N,3.57783,1.18523,0.91508,3.7251,75.53,-0.2672,-0.0526,0.2145,1193.9085,0.113838,-416.818199,-416.810223,-416.809279,-416.851574,28.435
53109,gdb_53110,CC#CC1C(C)NC1=O,2.39382,1.10012,0.82551,3.6661,82.69,-0.2329,0.032,0.265,1428.0091,0.1457,-401.954142,-401.944131,-401.943187,-401.991583,34.64
57060,gdb_57061,CC1COC1C(O)C#C,2.6929,1.23366,0.91868,1.2825,77.59,-0.2432,0.025,0.2682,1285.0346,0.156568,-422.963584,-422.953694,-422.95275,-422.999003,35.66
51638,gdb_51639,O=COC1OC2CC1C2,4.79834,1.00994,0.98484,4.5029,69.61,-0.2683,0.0044,0.2727,1220.3404,0.136768,-458.96529,-458.957847,-458.956902,-458.998122,28.012
15912,gdb_15913,OCC1C(O)CC1O,2.75005,1.83163,1.2434,4.4626,63.59,-0.2435,0.0572,0.3007,981.3363,0.153082,-422.050601,-422.041966,-422.041021,-422.083456,32.185
97237,gdb_97238,CN=C1C(=O)OCCN1,2.9856,1.44579,1.01231,4.2526,74.3,-0.2303,-0.0448,0.1855,1154.6981,0.136948,-455.17611,-455.167654,-455.16671,-455.209625,30.911
130262,gdb_130263,C(=O)c1c(c(no1)N)N,3.41941,1.25432,0.92034,6.4137,71.31,-0.2327,-0.0644,0.1683,1173.6578,0.101327,-470.000745,-469.99251,-469.991566,-470.033501,30.234
11646,gdb_11647,OC1C2CC1(C2)C#C,3.24938,1.87803,1.48315,1.4885,72.33,-0.2452,0.0405,0.2857,882.6074,0.130037,-346.517104,-346.509838,-346.508894,-346.548255,28.712
100071,gdb_100072,CC(=O)CC(C)(C)CO,3.07023,0.91356,0.84817,3.5361,82.21,-0.2389,-0.0122,0.2267,1482.2395,0.201407,-425.449856,-425.43836,-425.437416,-425.486742,41.435
6795,gdb_6796,CC(C)OCCCO,5.96965,0.67573,0.63319,2.2754,76.35,-0.2471,0.0788,0.3259,1808.8003,0.197212,-387.335469,-387.324732,-387.323788,-387.372385,37.049
30600,gdb_30601,CNC(=O)c1cnco1,4.50643,1.06228,0.86434,3.945,71.16,-0.2568,-0.0397,0.2171,1274.6051,0.113832,-454.007439,-453.999161,-453.998216,-454.041304,28.765
35740,gdb_35741,N#CC1CC2(CN2)CO1,2.83097,1.37663,1.16992,4.8494,71.74,-0.2616,0.0165,0.2781,1087.1457,0.137296,-417.989722,-417.981717,-417.980773,-418.023073,29.695
21197,gdb_21198,CNc1ncnnn1,5.52419,1.68261,1.30023,4.7118,63.79,-0.2392,-0.0722,0.1671,881.1409,0.096865,-390.94945,-390.94229,-390.941346,-390.981734,24.536
77322,gdb_77323,CC1C(NCC1=O)C#N,2.42318,1.32995,1.18753,3.1728,72.26,-0.2574,-0.0365,0.2209,1120.3552,0.136469,-418.040422,-418.03183,-418.030886,-418.074099,31.368
79414,gdb_79415,CN1C2C3CC2(C3)C1=O,3.1014,1.52705,1.23825,3.3092,79.54,-0.2373,0.0176,0.2549,1051.2728,0.148265,-401.850364,-401.842726,-401.841781,-401.882498,29.525
112915,gdb_112916,COC1CC(O)CC1O,2.5808,1.24639,1.08821,3.1247,74.73,-0.2408,0.0607,0.3015,1229.1357,0.182444,-461.356721,-461.347433,-461.346489,-461.391023,35.277
60299,gdb_60300,CC(O)CCC#CC#C,5.91949,0.48952,0.46853,1.7985,95.34,-0.2379,-0.0076,0.2302,2286.1401,0.155693,-385.843476,-385.832856,-385.831911,-385.879873,38.167
74486,gdb_74487,C1CC12CC(=O)C(=N2)N,3.29973,1.30712,1.01849,0.863,78.58,-0.2247,-0.0537,0.171,1160.8359,0.13655,-418.039656,-418.031584,-418.030639,-418.072175,31.559
122521,gdb_122522,CCCCC1OC1CO,4.29805,0.55782,0.54189,2.0991,83.53,-0.2611,0.0799,0.341,2146.1025,0.203873,-425.408822,-425.397993,-425.397049,-425.446222,38.327
105601,gdb_105602,CNC1(COC1=O)C=O,2.17844,1.52235,1.25735,2.6709,65.47,-0.2443,-0.0542,0.1901,1064.3101,0.122725,-475.031244,-475.022215,-475.021271,-475.065736,31.304
33600,gdb_33601,N#CC12C3C4NC1C4N23,4.05457,1.53772,1.39004,5.4849,69.54,-0.2494,-0.0046,0.2448,905.3302,0.103475,-395.630842,-395.624799,-395.623854,-395.661302,24.338
59241,gdb_59242,CC(O)C1C2NC2C1C,2.40126,1.42844,1.05199,1.4458,81.85,-0.2248,0.0781,0.3029,1226.4199,0.193475,-404.303907,-404.29434,-404.293396,-404.337996,36.615
131969,gdb_131970,Cn1nc(nn1)N(=O)=O,4.73829,1.16152,0.9384,5.7268,61.0,-0.3054,-0.0988,0.2066,1143.0941,0.077518,-502.012023,-502.004508,-502.003564,-502.045429,25.232
105775,gdb_105776,OCC1(COCO1)C#N,2.2528,1.504,1.18776,3.8492,64.79,-0.2819,0.0065,0.2885,1076.8204,0.124268,-475.018851,-475.010356,-475.009412,-475.052606,30.446
102371,gdb_102372,COC(CO)(C=O)C=O,1.90048,1.40206,1.26363,3.3381,65.44,-0.2406,-0.0447,0.1959,1132.5856,0.130237,-496.082203,-496.071449,-496.070505,-496.119293,35.711
118827,gdb_118828,COCC1(O)CC1C=O,2.87222,0.89576,0.78039,4.0296,75.07,-0.2461,-0.022,0.2241,1504.1686,0.155905,-460.141586,-460.131627,-460.130683,-460.17705,35.483
59305,gdb_59306,CC(C)C1NC(=O)C1O,2.75038,1.19764,0.92494,2.6599,76.03,-0.2494,0.0214,0.2707,1302.1796,0.169195,-440.309665,-440.299624,-440.29868,-440.344668,36.493
106144,gdb_106145,CCC12C3CN1CC23C,2.44514,1.52856,1.21776,1.6999,86.24,-0.2162,0.0884,0.3045,1163.8321,0.194359,-367.15147,-367.142577,-367.141633,-367.184876,34.346
84943,gdb_84944,OC1C=CCCNC1=O,2.27166,1.68119,1.24581,4.2263,73.8,-0.2355,-0.0173,0.2182,1057.2618,0.149497,-439.107528,-439.099102,-439.098158,-439.14055,31.839
76090,gdb_76091,CC1C(C#N)C1N1CC1,2.29248,1.36021,1.06201,4.9459,81.66,-0.2496,0.0363,0.2859,1212.3499,0.15877,-382.040974,-382.031878,-382.030933,-382.075291,33.223
7155,gdb_7156,CCOC(C)C#CC,3.79988,0.88204,0.74876,0.821,81.79,-0.2403,0.0492,0.2894,1585.6839,0.173278,-348.978367,-348.967682,-348.966737,-349.016214,35.88
56913,gdb_56914,CC1(C)NC1C(O)C#N,3.00823,0.99745,0.88673,4.5129,77.03,-0.2616,0.0102,0.2718,1372.4359,0.157172,-419.194084,-419.183963,-419.183019,-419.229416,36.501
51949,gdb_51950,O=CCCC(=O)C1CO1,3.42118,0.75105,0.65811,2.9366,71.04,-0.2541,-0.0394,0.2147,1643.9685,0.132387,-458.961225,-458.951743,-458.950799,-458.997611,32.208
64677,gdb_64678,C1C(=O)CC1(CC#N)O,3.41675,1.02006,0.93341,1.7699,69.23,-0.2572,-0.0372,0.22,1246.1309,0.121792,-437.906293,-437.897542,-437.896598,-437.940349,32.315
91403,gdb_91404,CC1CC2OC(O1)C=C2,3.03508,1.60983,1.43016,2.1734,74.37,-0.2509,0.0008,0.2516,993.0664,0.161431,-423.035319,-423.028125,-423.027181,-423.066538,29.626
49865,gdb_49866,O=CN1CC(=O)C2CC12,3.04183,1.33776,0.99857,4.1439,71.27,-0.2443,-0.0341,0.2102,1137.3295,0.124678,-437.919049,-437.911303,-437.910359,-437.952161,28.664
839,gdb_840,Cc1c[nH]c(n1)O,6.86805,2.13225,1.64364,1.8932,55.58,-0.198,0.0562,0.2542,722.6311,0.103147,-340.686134,-340.679625,-340.678681,-340.716208,24.147
20838,gdb_20839,CCc1nnn(n1)C,5.84183,1.30392,1.16514,2.4253,67.52,-0.2745,-0.0172,0.2573,1061.2862,0.131434,-376.103989,-376.095967,-376.095022,-376.137794,27.439
118391,gdb_118392,CCCN(CC#N)C=O,1.75093,1.14479,0.75584,4.3642,78.09,-0.267,0.0031,0.2701,1524.0301,0.158181,-419.246865,-419.236719,-419.235775,-419.283626,34.822
64275,gdb_64276,CC1(C)COC2CC2O1,2.81517,1.47931,1.32777,0.4652,77.64,-0.2264,0.0793,0.3056,1082.6744,0.181707,-424.208048,-424.199346,-424.198402,-424.240689,34.545
79123,gdb_79124,CN1C2C3OC(=O)C2C13,4.47025,1.32766,1.16495,3.6074,68.48,-0.2339,-0.0078,0.2261,1039.8528,0.125187,-437.842677,-437.835863,-437.834919,-437.87378,27.064
36569,gdb_36570,C#CCNC(C#C)C#N,2.80458,1.08827,0.81254,4.2443,76.16,-0.262,-0.0062,0.2558,1334.4722,0.109603,-379.582984,-379.573251,-379.572307,-379.619029,34.238
114735,gdb_114736,CCC1CC2CC2C1C,2.70615,1.21327,0.96078,0.2623,91.42,-0.2569,0.0763,0.3332,1363.2501,0.230457,-352.362123,-352.352771,-352.351827,-352.39603,36.94
124422,gdb_124423,CC(C#N)C1=NNC=C1,3.33786,1.14552,0.97761,4.7867,74.45,-0.2581,0.0049,0.263,1206.4104,0.126205,-396.970424,-396.962162,-396.961217,-397.004472,29.886
80055,gdb_80056,CC1C2C=CC3N2C13C,2.42186,1.94806,1.45052,1.7567,82.18,-0.2075,0.0035,0.211,998.3081,0.171869,-365.983094,-365.975162,-365.974218,-366.014942,31.841
32258,gdb_32259,Cc1cccnc1OC,2.5004,1.64232,1.00359,0.6559,83.4,-0.2218,-0.0104,0.2114,1174.4793,0.148805,-402.019828,-402.011372,-402.010428,-402.052949,31.237
129001,gdb_129002,[N-]1[NH+]=CC=C2C=CN=C12,3.96247,1.73829,1.20825,5.1213,81.32,-0.2095,-0.058,0.1515,938.092,0.106236,-395.770519,-395.764673,-395.763729,-395.800557,23.981
106622,gdb_106623,CCC12CC(OC1)C2C,2.56044,1.36954,1.20048,1.7502,84.7,-0.2342,0.0809,0.3151,1196.2818,0.206469,-388.280751,-388.271814,-388.27087,-388.314065,35.106
43537,gdb_43538,O=C1CC(C#C)C11CC1,2.55738,1.42806,1.05696,2.3867,80.1,-0.242,-0.0237,0.2183,1144.7265,0.133784,-384.653448,-384.644837,-384.643893,-384.687004,32.417
6052,gdb_6053,CCC(C)(O)C(C)C,2.86929,1.41949,1.23554,1.3356,80.98,-0.2584,0.0667,0.3251,1162.9722,0.22038,-351.420741,-351.410008,-351.409064,-351.455426,40.298
97294,gdb_97295,CN=CN1C2CC1C2=O,5.5403,0.89332,0.87975,3.0299,79.28,-0.2347,-0.0091,0.2256,1353.6757,0.134675,-417.937938,-417.929696,-417.928751,-417.971033,30.489
133125,gdb_133126,c1cc(c(nc1)F)CO,2.58478,1.50638,0.95738,2.6715,70.34,-0.2478,-0.0229,0.2249,1138.6751,0.113307,-461.969326,-461.961563,-461.960619,-462.002233,28.479
125172,gdb_125173,Cc1c2n(nn1)CCC2,3.22056,1.53588,1.07299,5.1246,78.43,-0.2338,0.0127,0.2465,1118.9222,0.150772,-398.151902,-398.144108,-398.143164,-398.184806,28.794
98391,gdb_98392,C(C(=O)N(C=O)C=O)N,3.16438,1.04657,0.79364,3.6222,64.83,-0.2597,-0.052,0.2077,1347.7816,0.110352,-491.127127,-491.117344,-491.1164,-491.164826,32.309
31999,gdb_32000,COc1cnc2n1CC2,3.85318,1.28929,0.98634,2.9622,76.66,-0.1928,0.0473,0.2401,1182.323,0.137649,-417.993898,-417.985904,-417.98496,-418.027102,29.025
127979,gdb_127980,CN=c1cnc(no1)N,4.98724,1.09535,0.90401,2.112,76.51,-0.2249,-0.0802,0.1447,1237.4209,0.112373,-450.100897,-450.092499,-450.091555,-450.134304,30.441
127081,gdb_127082,CN(C)c1cnoc1N,2.65191,1.32451,1.06436,3.7143,75.67,-0.2076,0.0134,0.221,1187.5017,0.147445,-435.243202,-435.234096,-435.233152,-435.277414,33.415
99625,gdb_99626,CC1CN1C(CO)C#C,2.19524,1.30263,1.03092,2.4375,81.63,-0.2359,0.0415,0.2774,1262.4912,0.168562,-403.072737,-403.062807,-403.061863,-403.107917,36.783
123555,gdb_123556,C1C2CC3=C(C=NO3)N12,4.00939,1.61288,1.25393,3.3409,70.23,-0.2288,-0.014,0.2148,947.7975,0.115728,-416.761885,-416.755758,-416.754814,-416.792304,24.769
5747,gdb_5748,CC1CN2C=CN=C12,4.76014,1.84428,1.43969,3.6513,71.08,-0.2144,0.0422,0.2566,872.1266,0.133005,-342.791166,-342.784336,-342.783392,-342.8225,25.497
46831,gdb_46832,O=C1OCC2NC12C#C,2.72977,1.66353,1.19321,5.0419,68.83,-0.2521,-0.0129,0.2392,1001.4284,0.101039,-436.659041,-436.651573,-436.650629,-436.691016,28.287
111091,gdb_111092,CCC1C2CC1C(C)=C2,3.50397,1.02302,0.99578,0.3115,91.71,-0.2107,0.0274,0.2381,1373.7296,0.206424,-351.134338,-351.125417,-351.124473,-351.167759,35.07
110284,gdb_110285,COC1C2C(O)C2C1=O,2.25901,1.63324,1.25519,2.9107,69.34,-0.2331,-0.0224,0.2108,1056.9683,0.134648,-458.931553,-458.923082,-458.922138,-458.964798,31.461
47649,gdb_47650,N=C1OCCC=CCO1,2.37544,1.84685,1.21737,3.085,73.99,-0.2582,-0.01,0.2482,1035.633,0.149223,-439.081069,-439.073188,-439.072244,-439.113606,30.316
6697,gdb_6698,CC(C)CC#CC=O,6.62975,0.71474,0.6682,4.0536,80.29,-0.2627,-0.0573,0.2054,1660.5075,0.150635,-347.795412,-347.785605,-347.784661,-347.831835,33.236
1291,gdb_1292,CC(C)OCCO,5.06464,1.37057,1.14452,2.3094,64.84,-0.2571,0.0766,0.3337,1066.9097,0.169552,-348.051405,-348.042453,-348.041508,-348.085275,31.621
39430,gdb_39431,C1C2CCCC3OCC123,2.30972,1.93393,1.30232,1.6628,81.6,-0.2378,0.0769,0.3147,1045.1826,0.185391,-387.074407,-387.066953,-387.066009,-387.106001,30.62
23474,gdb_23475,CC1CN2CC(=NO)C12,2.78234,1.31277,1.03902,1.2262,79.11,-0.2224,-0.0034,0.219,1194.0591,0.158803,-419.117614,-419.108989,-419.108045,-419.151229,32.578
96228,gdb_96229,OC1CCNC=CC1=O,2.33478,1.73331,1.23567,1.7871,74.94,-0.237,-0.0587,0.1783,1040.416,0.149519,-439.089581,-439.08136,-439.080416,-439.122466,31.412
2958,gdb_2959,C#CC(=O)N1CC1,5.08691,2.1923,1.60544,3.3752,58.9,-0.26,-0.0436,0.2164,732.3158,0.088877,-323.330261,-323.32343,-323.322486,-323.361262,23.909
3478,gdb_3479,CC12C3C4C(C13)N24,5.87921,2.98078,2.80411,1.7976,59.57,-0.2115,0.0705,0.282,560.4801,0.113453,-287.318584,-287.31306,-287.312116,-287.347423,21.871
81708,gdb_81709,OC1C2CC1COCC2,2.66367,1.51779,1.26689,1.3103,77.53,-0.2493,0.0786,0.3279,1079.2407,0.185057,-424.212689,-424.204878,-424.203933,-424.24442,31.943
26938,gdb_26939,Cc1c(cc[nH]1)N2CC2,2.91266,1.35594,1.00358,1.5508,84.57,-0.1898,0.0484,0.2381,1211.4506,0.160299,-382.075936,-382.067372,-382.066428,-382.109511,32.452
101669,gdb_101670,CC(CO)OC(C)CO,2.3518,0.92997,0.8384,2.2616,78.62,-0.2577,0.0589,0.3167,1534.418,0.202933,-462.553455,-462.542206,-462.541262,-462.59076,40.57
103013,gdb_103014,NC1C(O)C1(CO)C#N,1.99731,1.47821,1.13754,6.1217,69.49,-0.2613,0.0233,0.2846,1134.2835,0.136126,-455.123186,-455.114033,-455.113089,-455.156968,33.962
20421,gdb_20422,c1c(nno1)N2CC2,6.31947,1.51227,1.3481,2.6627,60.59,-0.2618,-0.0408,0.221,875.0871,0.09594,-394.718291,-394.711889,-394.710944,-394.749724,23.305
88251,gdb_88252,CC1NC1C#CCC=O,3.63452,0.66238,0.58854,3.5361,83.95,-0.2408,-0.0287,0.2121,1851.177,0.144989,-401.903836,-401.893832,-401.892888,-401.941596,34.302
17564,gdb_17565,OC12CC1OC21CC1,3.33889,2.14012,1.66981,1.1856,64.84,-0.2242,0.0676,0.2918,815.0658,0.12924,-383.669193,-383.662106,-383.661161,-383.700033,28.156
12638,gdb_12639,CC1=CCC(O)C1=O,3.37283,1.91497,1.27688,2.96,67.82,-0.2447,-0.0495,0.1951,936.2174,0.130154,-383.781981,-383.774133,-383.773188,-383.81426,28.714
